EnsEMBLID	FAST DB STABLE ID	Gene Symbol	Regulation	Fold-Change	P-Value	Aliases and Synonyms
ENSG00000005100	GSHG0013025	DHX33	down	1.54	3,41E-02	DDX33 // DKFZp762F2011 // FLJ21972
---	GSHG0007653	---	down	1.53	1,31E-02	---
ENSG00000104643	GSHG0028808	MTMR9	down	1.53	4,17E-02	C8orf9 // MTMR8 // DKFZp434K171 // LIP-STYX
ENSG00000198997	GSHG0042809	MIR107	down	1.53	2,30E-02	MIRN107 // hsa-mir-107
ENSG00000174059	GSHG0002921	CD34	down	1.53	3,18E-02	---
ENSG00000154721	GSHG0019382	JAM2	down	1.53	2,30E-02	C21orf43 // CD322 // JAM-B // JAMB // VE-JAM
ENSG00000133121	GSHG0008415	STARD13	down	1.52	4,57E-02	ARHGAP37 // DLC2 // GT650
ENSG00000137642	GSHG0005335	SORL1	down	1.52	3,44E-02	C11orf32 // gp250 // LR11 // LRP9 // SorLA // SorLA-1
ENSG00000159322	GSHG0010568	ADPGK	down	1.52	3,72E-02	ADP-GK // DKFZp434B195
ENSG00000164574	GSHG0024393	GALNT10	down	1.51	2,01E-02	DKFZp586H0623
ENSG00000189184	GSHG0023525	PCDH18	down	1.51	3,44E-02	KIAA1562 // PCDH68L
---	GSHG0040468	---	down	1.51	1,79E-02	---
---	GSHG0029615	---	down	1.5	4,46E-03	---
